NAMES,MAJOR CITY,STATE,ADDRESS
Golden Royale Hotel,Independence Layout, Enugu ,"10 Bisala Road, Independence Layout"
PSALMS HOTEL,Enugu, Enugu ,64 Ezilo Street Independence Layout
Maxbe Continental Hotel,Independence Layout, Enugu ,"No 1 Nza Street, Independence Layout, After Govern..."
De Castle Resort,Enugu, Enugu ,"No 14/16 Umuona Street , Behind Park Lane Hospital..."
Nue Crest Hotel ,Trans-Ekulu,,"kulu, Enugu - 2 Ezechime Street"
Fontana Hotel,Independence Layout, Enugu ,"6, Chucks Oje Close, Off Nawfia Street, Independen..."
Golden Valley Hotel And Suites,Nsukka, Enugu ,Odenigbo In Nsukka By Ugwuawarawa
Fidelma Hotel,Independence Layout, Enugu ,65 Ezillo Avenue Independent Layout 
Lavida Suites,Independence Layout, Enugu , 3 Nza Street
Olive Gate Hotel,Independence Layout, Enugu ,"2 Snaap Drive, Off Independence Layout"
Residency Hotel Enugu,Independence Layout, Enugu ,7/8 Nawfia Street Independence Layout By Agric Ban...
Amazon Hotels,Enugu, Enugu ,"16 Njamanze Street, Off Ogui Road"
 Filbon Hotel And Gardens,New Heaven, Enugu ,127 Upper Chime Avenue 
Roban Hotels,Independence Layout, Enugu ,"11 Ukwa Street, Independence Layout"
Dmatel Hotel And Resort,Independence Layout, Enugu ,"9 First Avenue, Off Bisala Road, Independence Layo..."
Adig Suites Limited,Independence Layout, Enugu ,"2 Nwafor Orizu Street, Off Bisala Road, Independen..."
Aegeyi Grande Express,Enugu, Enugu ,1. Atlantic Avenue G.R.A
The New Ikenga Hotels Limited,Nsukka, Enugu ," 160, Ogurugu Road, Nsukka, Enugu"
Meadway Luxury Hotels And Suites,Enugu, Enugu ,"Plot 24, Pocket Layout, Market Garden, GRA"
Nicholes  Hotel,Enugu, Enugu ,"No.1 High Chief Sam Asadu Close, By Trans Ekulu Fl..."
The Gates Apartments,Enugu, Enugu ,"13 Peacock Close, Ekulu East (Zoo)Estate, Ogui Jun..."
Alberto Hotels,Independence Layout, Enugu ,"Plot 89/91 Iyke Ogbodo Street, By Ugwuaji Road, In..."
Royal Sun Star Hotel Limited,Independence Layout, Enugu ,"135, Ugwuaji Road, Independence Layout Enugu"
Tamara Guest Inn,GRA, Enugu ,"Plot 205 ,Golf Course Layout (First Extension)"
Silicon Valley Resort,Enugu, Enugu ,"No.2 Mike Omeje Street, Off Park Avenue Opposite E..."
Doron's Gate Guest House, Enugu, Enugu ,"Plot 157, Golf Estate Extension 1 GRA"
Nike Lake Resort,Trans Ekulu, Enugu ,"Nike Lake Road, Abakpa-Nike"
Bayview Resorts And Hotels,Independence Layout, Enugu ,3 Ezilo Street
Cunic Hotels Limited,New Heaven, Enugu ,2/4 Third Avenue Off Damijah Road Trans Ekulu
Ascort Resort,New Heaven, Enugu ,"9 Ezinifite Street, New Heaven Junctio"
The Maybach Hotel,Independence Layout, Enugu , 9 Nwafor Orinzu Independent Layout.
The Hotel Enugu,Independence Layout, Enugu ,Plot 108 Azu-Ogbunike Crescent Off Nza Street Inde...
Universal Hotel Enugu,Independence Layout, Enugu ,"Plot 3 Agueri Street, Independence Layout"
Hotel Toscana,Independence Layout, Enugu ,1 Aguleri Street
Dannic Hotels Enugu,New Heaven, Enugu ,"3 Edem Close, Upper Chime Avenue, New Haven, P. O...."
Gold Value Hotel,New Heaven, Enugu ,93 Upper Chime Avenue
Crystal Springs Hotel ,Independence Layout, Enugu ,23 Ogbaru Street Independent Layout
Ritz Carinton Suites ,New Heaven, Enugu ,17 Nnaji Street Opposite Akalaka House
Allen Suites,Independence Layout, Enugu ,No 4 Lobito Cresent Off Nza Street Independent Lay...
De-Inglish Resort,Independence Layout, Enugu ,23 Umuocha Street Independent Layout
Hotel Codial,New Heaven, Enugu ,151 Chime Avenue
Nondon International Hotel,New Heaven, Enugu ," 2 Ituku Street, Upper Chime Avenue"
Neo Courts,New Heaven, Enugu ,"3-5 Byron Onyeama Close, Off Chime Avenue  "
Silver And Gold Hotel ,Enugu East, Enugu ,"75B Nike Road, Abakpa By Liberty Bus Stop "
Richmond Hill Suites,GRA, Enugu ,"Plot 48 Market Garden Pocket Layout, Off Garden Av..."
Quixotel Luxury Rooms ,New Heaven, Enugu ,81 Ogui Road
SEDOTEL HOTEL,Trans Ekulu, Enugu ,2C/25 3rd Avenue Off Damija Trans Ekulu
Ceasar's Palace Hotels,Trans Ekulu, Enugu ,T-Junction Nike Lake Resort Rd
Bora Hotels,New Heaven, Enugu ,6 Abakaliki Close Off Abakaliki Road
Bettyâ€™s Inn ,Trans Ekulu, Enugu ,8 Obeledu Crescent
Bridgewaters Hotel ,New Heaven, Enugu ,"Plot C/2B Garden Avenue, G.R.A"
Airport Valley Resort ,Independence Layout, Enugu ,"KM 13 Enugu/Abakaliki Express Road, Emene Industri..."
Crystal Palace Hotel,GRA, Enugu ,2 Mount Street Off Park Avenue Opposite Enugu Golf...
Sunshine Hotels And Guest House Annex,Enugu North, Enugu ,8/9 Ebeano Estate New Haven Junction Enugu
Favour Guest House ,Enugu, Enugu ,3B Akutu Crescent Independence Layout
Davis Suites Ltd,New Heaven, Enugu ,7 Ifite Ukpo Street New Haven 
Labelle Metropole Hotel,Independence Layout, Enugu ,Independence Layout
The Grand Metropole ,Independence Layout, Enugu ,19 Ogui Road
Aaron's Place, Independence Layout, Enugu ,"17 Ibusa Avenue, Independence Layout Enugu"
Hotel Monte-Carlo ,Independence Layout, Enugu ,38 Ezillo Streets 
Happy Planet Formerly (Brifina Guest House) ,Enugu North, Enugu ,5A Cattanch Street By Nwodo Bus Stop G.R.A
Grace Manor Hotels ,Nsukka, Enugu ,"Old GRA Road, Nsukka, Enugu, Nigeria"
 De-Zannyc Hotels,Enugu, Enugu ,"No. 3 Leo Nweke Close By Awkunanaw Street, Achara ..."
