Observation Point,Longitude,Latitude,Elevation (m),Date,Time,Temp.[°C],pH ,mV[pH],ORP[mV],EC[µS/cm],EC Abs.[µS/cm],RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[mbar],D.O.[%],D.O.[ppm],Remarks,TDS(mg/l),Sal(mg/l),Resistivity(Mohm),ORP(ppm or mg/l),EC[mg/l],D.O.[ppm],Temp.[°C],pH ,TDS AVE,Max,ORP[mV],EC[µS/cm],RES[KOhm-cm],TDS [ppt],Sal.[psu],D.O.[mg/L],,ORP[ppm],EC[mg/l],RES[mg/l],TDS[mg/l],Sal[mg/l],D.O.[mg/L]
1,5.1022,7.3492,329,29/05/2018,10:45:15,25.41,5.86,67.7,288,295,298,3.39,0.15,0.14,0,984.2,4.3,0.34,St 1,150,140,2.949852507,0.288,2.95,0.34,25.41,5.86,100,500,62.2,191,5.2,0.095,8.93E-02,0.72,,0.0622,1.91,1.923076923,95,89.3,0.72
2,5.1022,7.3492,329,29/05/2018,10:51:13,25.42,5.87,67,282.5,296,298,3.38,0.15,0.14,0,984.5,3.5,0.28,St 2,150,140,2.958579882,0.2825,2.96,0.28,25.42,5.87,100,500,95.9,162,6.2,0.081,7.55E-02,0.98,,0.0959,1.62,1.612903226,81,75.5,0.98
3,5.1046,7.347,330,29/05/2018,11:07:57,25.93,6.65,66.6,255.4,357,363,2.8,0.18,0.17,0,982.6,0.3,0.03,St 3,180,170,3.571428571,0.2554,3.57,0.03,25.93,6.65,100,500,100.9,271,3.7,0.135,0.13,0.91,,0.1009,2.71,2.702702703,135,130,0.91
4,5.1045,7.3472,330,29/05/2018,11:10:42,25.16,6.65,66.3,257.2,242,243,4.13,0.12,0.11,0,982.4,0.4,0.03,St 4,120,110,2.421307506,0.2572,2.42,0.03,25.16,6.65,100,500,152.8,260,3.8,0.13,0.12,0.95,,0.1528,2.6,2.631578947,130,120,0.95
5,5.1049,7.3472,331,29/05/2018,11:18:13,25.69,6.67,65.2,238.4,359,364,2.79,0.18,0.17,0,983.3,1.9,0.15,St 5,180,170,3.584229391,0.2384,3.59,0.15,25.69,6.67,100,500,121.3,254,3.9,0.127,0.12,0.86,,0.1213,2.54,2.564102564,127,120,0.86
6,5.1077,7.3438,335,29/05/2018,11:56:07,25.23,6.66,66,209.8,269,271,3.72,0.13,0.13,0,981.4,0.2,0.01,St 6,130,130,2.688172043,0.2098,2.69,0.01,25.23,6.66,100,500,137.1,247,4,0.123,0.12,0.07,,0.1371,2.47,2.5,123,120,0.07
7,5.1079,7.3394,336,29/05/2018,12:01:05,25.23,6.71,63.2,212.8,269,270,3.72,0.13,0.13,0,981.2,0.7,0.05,St 7,130,130,2.688172043,0.2128,2.69,0.05,25.23,6.71,100,500,-18.3,246,4.1,0.123,0.12,0.01,,-0.0183,2.46,2.43902439,123,120,0.01
8,5.1104,7.3396,337,29/05/2018,12:19:00,25.4,6.72,62.4,222.1,270,272,3.7,0.13,0.13,0,980.7,2.2,0.18,St 8,130,130,2.702702703,0.2221,2.7,0.18,25.4,6.72,100,500,57.3,238,4.2,0.119,0.11,0.01,,0.0573,2.38,2.380952381,119,110,0.01
9,5.112,7.3396,339,29/05/2018,12:34:34,25.14,6.77,59.7,227.6,271,272,3.69,0.14,0.13,0,980.7,0,0,St 9,140,130,2.7100271,0.2276,2.71,0,25.14,6.77,100,500,94.6,237,4.2,0.119,0.11,0.03,,0.0946,2.37,2.380952381,119,110,0.03
10,5.1131,7.3395,345,29/05/2018,12:52:04,25.08,6.81,57.5,225.9,273,273,3.66,0.14,0.13,0,979.1,0,0,St 10,140,130,2.732240437,0.2259,2.73,0,25.08,6.81,100,500,117.8,246,4.1,0.123,0.11,0.04,,0.1178,2.46,2.43902439,123,110,0.04
11,5.1059,7.3503,338,30/05/2018,10:50:32,26.14,6.88,52.6,211,388,396,2.58,0.19,0.18,0,980.2,4.7,0.37,St 11,190,180,3.875968992,0.211,3.88,0.37,26.14,6.88,100,500,127.5,240,4.2,0.12,0.11,0.11,,0.1275,2.4,2.380952381,120,110,0.11
12,5.1071,7.3515,339,30/05/2018,11:11:05,26.16,6.9,51.6,196.8,388,397,2.58,0.19,0.18,0,980.5,5.1,0.4,St 12,190,180,3.875968992,0.1968,3.88,0.4,26.16,6.9,100,500,114.9,139,7.2,0.069,0.06,0,,0.1149,1.39,1.388888889,69,60,0
13,5.108,7.3525,338,30/05/2018,11:31:01,26.6,6.91,50.6,202.1,379,391,2.64,0.19,0.18,0,981.2,5.1,0.4,St13,190,180,3.787878788,0.2021,3.79,0.4,26.6,6.91,100,500,114.5,227,4.4,0.114,0.11,0.09,,0.1145,2.27,2.272727273,114,110,0.09
14,5.1087,7.3527,340,30/05/2018,11:47:58,26.84,6.92,50.4,208.9,375,388,2.67,0.19,0.18,0,982.3,3.7,0.29,St 14,190,180,3.745318352,0.2089,3.75,0.29,26.84,6.92,100,500,120,223,4.5,0.111,0.1,0.07,,0.12,2.23,2.222222222,111,100,0.07
15,5.10699,7.3515,343,30/05/2018,11:58:56,27.18,6.93,49.8,204.3,370,385,2.7,0.18,0.18,0,982.7,4.6,0.35,St 15,180,180,3.703703704,0.2043,3.7,0.35,27.18,6.93,100,500,125.8,209,4.8,0.104,9.72E-02,0.07,,0.1258,2.09,2.083333333,104,97.2,0.07
16,5.11,7.3509,342,30/05/2018,12:10:48,26.88,6.92,50.1,210.8,347,360,2.88,0.17,0.16,0,984.1,3.4,0.26,St 16,170,160,3.472222222,0.2108,3.47,0.26,26.88,6.92,100,500,129.2,183,5.5,0.091,8.50E-02,0.08,,0.1292,1.83,1.818181818,91,85,0.08
17,5.1103,7.3508,342,30/05/2018,12:14:33,28.16,6.95,48.8,214.8,392,416,2.55,0.2,0.19,0,984.1,2.4,0.18,St 17,200,190,3.921568627,0.2148,3.92,0.18,28.16,6.95,100,500,133.9,135,7.4,0.067,6.23E-02,0,,0.1339,1.35,1.351351351,67,62.3,0
18,5.1101,7.351,341,30/05/2018,12:18:50,27.61,6.95,48.7,218.4,368,386,2.72,0.18,0.17,0,984.1,2.2,0.17,St 18,180,170,3.676470588,0.2184,3.68,0.17,27.61,6.95,100,500,137,117,8.6,0.059,5.40E-02,0.01,,0.137,1.17,1.162790698,59,54,0.01
19,5.112,7.3516,343,30/05/2018,12:57:27,27.32,6.96,48.1,213.6,335,350,2.99,0.17,0.16,0,982.2,7.2,0.55,St 19,170,160,3.344481605,0.2136,3.35,0.55,27.32,6.96,100,500,137.6,115,8.7,0.058,5.31E-02,0.04,,0.1376,1.15,1.149425287,58,53.1,0.04
20,5.1101,7.3498,343,30/05/2018,13:12:59,27.36,6.96,48.1,218.3,304,317,3.29,0.15,0.14,0,981.9,10.3,0.79,St 20,150,140,3.039513678,0.2183,3.04,0.79,27.36,6.96,100,500,146,160,6.3,0.08,7.43E-02,0,,0.146,1.6,1.587301587,80,74.3,0
21,5.1112,7.3489,348,30/05/2018,13:13:57,27.16,6.97,47.6,219.1,315,328,3.18,0.16,0.15,0,982.1,7.8,0.6,St 21,160,150,3.144654088,0.2191,3.15,0.6,27.16,6.97,100,500,146.8,160,6.3,0.08,7.43E-02,0.01,,0.1468,1.6,1.587301587,80,74.3,0.01
22,5.1111,7.3486,349,30/05/2018,13:18:15,27.22,6.98,46.7,222.3,301,313,3.32,0.15,0.14,0,981.7,9.3,0.71,St 22,150,140,3.012048193,0.2223,3.01,0.71,27.22,6.98,100,500,145.7,159,6.3,0.08,7.41E-02,0,,0.1457,1.59,1.587301587,80,74.1,0
23,5.1121,7.3482,350,30/05/2018,13:32:00,27.91,6.98,46.9,222.4,281,297,3.56,0.14,0.13,0,981.9,12.4,0.94,St 23,140,130,2.808988764,0.2224,2.81,0.94,27.91,6.98,100,500,147.3,159,6.3,0.08,0.07,0.02,,0.1473,1.59,1.587301587,80,70,0.02
24,5.1132,7.3478,352,30/05/2018,13:42:00,28.47,6.99,46.6,222.4,241,257,4.15,0.12,0.11,0,981.5,5.7,0.43,St 24,120,110,2.409638554,0.2224,2.41,0.43,28.47,6.99,100,500,146,162,6.2,0.081,0.08,0.01,,0.146,1.62,1.612903226,81,80,0.01
25,5.1149,7.3479,354,30/05/2018,13:58:42,27.28,6.99,46.7,225.6,189,198,5.29,0.09,0.09,0,980.7,7.8,0.6,St 25,90,90,1.890359168,0.2256,1.89,0.6,27.28,6.99,100,500,147.8,165,6.1,0.082,0.08,0.01,,0.1478,1.65,1.639344262,82,80,0.01
26,5.1164,7.3476,367,30/05/2018,14:09:21,25.76,6.99,46.3,223.4,147,149,6.8,0.07,0.07,0,980.1,9,0.71,St 26,70,70,1.470588235,0.2234,1.47,0.71,25.76,6.99,100,500,,,,,,,,,,,,,
27,5.1171,7.3474,372,30/05/2018,14:21:58,26,7.01,45.2,219.5,141,144,7.09,0.07,0.07,0,978.6,13.8,1.08,St 27,70,70,1.410437236,0.2195,1.41,1.08,26,7.01,100,500,,,,,,,,,,,,,
,,,342.2962963,,,26.43,6.8,54.3,224.9,302,311,3.55,0.15,0.14,,981.85,,,,,,,,,,26.43,6.8,,,,,,,,,,,,,,,
