Observation Point,Longitude,Latitude,Elevation (m),Date,Time,Temp.[°C],pH ,mV[pH],ORP[mV],EC[µS/cm],EC Abs.[µS/cm],RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[mbar],D.O.[%],D.O.[mg/L],Remarks,,ORP[ppm],EC[mg/l],RES[mg/l],TDS[mg/l],Sal[mg/l],D.O.[mg/L],Min,Max
1,5.10215,7.34916,337,04/10/2018,10:21:22,25.32,6.69,-2.7,62.2,191,192,5.2,0.095,8.93E-02,0,981,9,0.72,St 1,,0.0622,1.91,1.923076923,95,89.3,0.72,100,300
2,5.10447,7.34712,338,04/10/2018,10:34:23,24.86,6.52,7.1,95.9,162,161,6.2,0.081,7.55E-02,0,981.6,12.2,0.98,St 2,,0.0959,1.62,1.612903226,81,75.5,0.98,100,300
3,5.10452,7.34711,339,04/10/2018,10:35:20,25.86,6.52,7,100.9,271,275,3.7,0.135,0.13,0,981.9,11.6,0.91,St 2,,0.1009,2.71,2.702702703,135,130,0.91,100,300
4,5.10585,7.35033,332,04/10/2018,10:56:40,27.56,6.42,12.7,152.8,260,272,3.8,0.13,0.12,0,983.4,12.4,0.95,St 3,,0.1528,2.6,2.631578947,130,120,0.95,100,300
5,5.10699,7.35154,328,04/10/2018,11:07:54,27.86,6.86,-12.5,121.3,254,268,3.9,0.127,0.12,0,983.4,11.3,0.86,St 4,,0.1213,2.54,2.564102564,127,120,0.86,100,300
6,5.10802,7.35241,330,04/10/2018,11:20:31,28.12,6.81,-9.6,137.1,247,262,4,0.123,0.12,0,985.1,1,0.07,St 5,,0.1371,2.47,2.5,123,120,0.07,100,300
7,5.10867,7.35263,334,04/10/2018,11:41:27,28.38,6.94,-17,-18.3,246,262,4.1,0.123,0.12,0,985.8,0.1,0.01,St 6,,-0.0183,2.46,2.43902439,123,120,0.01,100,300
8,5.10958,7.35141,332,04/10/2018,11:52:08,27.94,6.98,-19.6,57.3,238,252,4.2,0.119,0.11,0,984.8,0.1,0.01,St 7,,0.0573,2.38,2.380952381,119,110,0.01,100,300
9,5.11002,7.35105,333,04/10/2018,12:00:50,27.89,7,-20.6,94.6,237,250,4.2,0.119,0.11,0,985.1,0.4,0.03,St 8,,0.0946,2.37,2.380952381,119,110,0.03,100,300
10,5.10995,7.35077,336,04/10/2018,12:14:02,28.92,6.99,-20.3,117.8,246,264,4.1,0.123,0.11,0,984.1,0.5,0.04,St 9,,0.1178,2.46,2.43902439,123,110,0.04,100,300
11,5.1101,7.34989,338,04/10/2018,12:26:30,28.69,7,-20.7,127.5,240,257,4.2,0.12,0.11,0,983.8,1.4,0.11,St 10,,0.1275,2.4,2.380952381,120,110,0.11,100,300
12,5.11198,7.35163,341,04/10/2018,12:38:28,25.55,7.04,-22.9,114.9,139,140,7.2,0.069,0.06,0,982.6,0,0,St 11,,0.1149,1.39,1.388888889,69,60,0,100,300
13,5.11093,7.3489,341,04/10/2018,12:56:56,29.03,7.02,-21.9,114.5,227,244,4.4,0.114,0.11,0,981.7,1.2,0.09,St 12,,0.1145,2.27,2.272727273,114,110,0.09,100,300
14,5.11111,7.34858,341,04/10/2018,13:00:42,28.71,7,-20.6,120,223,239,4.5,0.111,0.1,0,982.8,1,0.07,St 13,,0.12,2.23,2.222222222,111,100,0.07,100,300
15,5.11213,7.34821,343,04/10/2018,13:10:23,28.44,7.02,-22.1,125.8,209,222,4.8,0.104,9.72E-02,0,981.6,0.9,0.07,St 14,,0.1258,2.09,2.083333333,104,97.2,0.07,100,300
16,5.11319,7.34781,346,04/10/2018,13:18:37,28.03,7.03,-22.3,129.2,183,193,5.5,0.091,8.50E-02,0,981.2,1,0.08,St 15,,0.1292,1.83,1.818181818,91,85,0.08,100,300
17,5.11484,7.34794,354,04/10/2018,13:33:23,26.66,7.02,-21.8,133.9,135,139,7.4,0.067,6.23E-02,0,980.6,0,0,St 16,,0.1339,1.35,1.351351351,67,62.3,0,100,300
18,5.11641,7.34761,356,04/10/2018,13:44:16,25.91,7.02,-21.7,137,117,119,8.6,0.059,5.40E-02,0,980.7,0.1,0.01,St 17,,0.137,1.17,1.162790698,59,54,0.01,100,300
19,5.11711,7.34746,372,04/10/2018,13:53:48,25.89,7.01,-20.9,137.6,115,117,8.7,0.058,5.31E-02,0,979.3,0.6,0.04,St 18,,0.1376,1.15,1.149425287,58,53.1,0.04,100,300
