D.O.[ppm],TDS(mg/l),Sal(mg/l),ORP[mV],EC[µS/cm]
0.34,150,140,0.288,2.95
0.28,150,140,0.2825,2.96
0.03,120,110,0.2572,2.42
0.03,180,170,0.2554,3.57
0.37,190,180,0.211,3.88
0.35,180,180,0.2043,3.7
0.05,130,130,0.2128,2.69
0.4,190,180,0.2021,3.79
0.29,190,180,0.2089,3.75
0.26,170,160,0.2108,3.47
0.17,180,170,0.2184,3.68
0.79,150,140,0.2183,3.04
0.18,200,190,0.2148,3.92
0.18,130,130,0.2221,2.7
0.71,150,140,0.2223,3.01
0.6,160,150,0.2191,3.15
0,140,130,0.2276,2.71
0.55,170,160,0.2136,3.35
0.94,140,130,0.2224,2.81
0,140,130,0.2259,2.73
0.43,120,110,0.2224,2.41
0.6,90,90,0.2256,1.89
0.71,70,70,0.2234,1.47
1.08,70,70,0.2195,1.41
,,,0.2249,3.02
